folio,fecha,planta,centro_costo,concepto,monto,cargado_en
HER-202501-000139,2025-01-02,Hermosillo,Seguridad,Nómina de apoyo,"1.476,00",2026-07-01
HER-202501-000166,2025-01-02,Hermosillo,sistemas,Reparación correctiva,"2.206,00",2026-07-01
IRA-202501-009076,2025-01-02,Irapuato,Mantenimiento ,Flete de importación,"7.867,00",2026-07-01
IRA-202501-009103,2025-01-02,Irapuato,Energía,Nómina de apoyo,"2.629,00",2026-07-01
IRA-202501-009130,2025-01-02,Irapuato,Nómina Indirecta,Reparación correctiva,"5.179,00",2026-07-01
IRA-202501-009157,2025-01-02,Irapuato,Refacciones,Mantenimiento preventivo,"-4.040,00",2026-07-01
IRA-202501-009184,2025-01-02,Irapuato,Calidad,Flete de importación,"2.542,50",2026-07-01
IRA-202501-009211,2025-01-02,Irapuato,SEGURIDAD,Nómina de apoyo,"1.559,00",2026-07-01
IRA-202501-009238,2025-01-02,Irapuato,Sistemas,Reparación correctiva,"1.833,75",2026-07-01
CHI-202501-006056,2025-01-03,Chihuahua, Mantenimiento,Licencia de software,"13.115,75",2026-07-01
CHI-202501-006083,2025-01-03,Chihuahua,Energía,Renta de montacargas,"4.347,50",2026-07-01
CHI-202501-006110,2025-01-03,Chihuahua,Nómina Indirecta,Consumo eléctrico,"9.076,75",2026-07-01
CHI-202501-006137,2025-01-03,Chihuahua,Refacciones,Servicio externo,"3.812,25",2026-07-01
CHI-202501-006164,2025-01-03,Chihuahua,Calidad,Licencia de software,"3.973,25",2026-07-01
CHI-202501-006191,2025-01-03,Chihuahua,seguridad,Renta de montacargas,"2.050,25",2026-07-01
CUA-202501-003032,2025-01-03,Cuautitlán,Mantenimiento,Licencia de software,"10.806,50",2026-07-01
CUA-202501-003059,2025-01-03,Cuautitlán,Energía,Renta de montacargas,"2.635,50",2026-07-01
CUA-202501-003086,2025-01-03,Cuautitlán,NÓMINA INDIRECTA,Consumo eléctrico,"8.246,25",2026-07-01
CUA-202501-003113,2025-01-03,Cuautitlán,Refacciones,Servicio externo,"2.666,75",2026-07-01
CUA-202501-003140,2025-01-03,Cuautitlán,Calidad,Licencia de software,"4.736,50",2026-07-01
CUA-202501-003167,2025-01-03,Cuautitlán,Seguridad,Renta de montacargas,"1.912,75",2026-07-01
HER-202501-000008,2025-01-03,Hermosillo,Mantenimiento,Licencia de software,"8.465,25",2026-07-01
HER-202501-000035,2025-01-03,Hermosillo,Energía,Renta de montacargas,"5.259,50",2026-07-01
HER-202501-000062,2025-01-03,Hermosillo,Nómina Indirecta,Consumo eléctrico,"6.197,50",2026-07-01
HER-202501-000089,2025-01-03,Hermosillo,Refacciones,Servicio externo,"3.944,25",2026-07-01
HER-202501-000116,2025-01-03,Hermosillo,calidad,Licencia de software,"2.968,50",2026-07-01
HER-202501-000143,2025-01-03,Hermosillo,Seguridad,Renta de montacargas,"1.816,50",2026-07-01
IRA-202501-009080,2025-01-03,Irapuato,Mantenimiento,Licencia de software,"7.982,50",2026-07-01
IRA-202501-009107,2025-01-03,Irapuato,Energía,Renta de montacargas,"3.747,25",2026-07-01
IRA-202501-009134,2025-01-03,Irapuato,Nómina Indirecta,Consumo eléctrico,"5.774,00",2026-07-01
IRA-202501-009161,2025-01-03,Irapuato,REFACCIONES,Servicio externo,"2.641,50",2026-07-01
IRA-202501-009188,2025-01-03,Irapuato,Calidad,Licencia de software,"2.777,75",2026-07-01
IRA-202501-009215,2025-01-03,Irapuato,Seguridad,Renta de montacargas,"1.066,25",2026-07-01
CHI-202501-006060,2025-01-04,Chihuahua,Mantenimiento,Refacción prensa,"12.117,50",2026-07-01
CHI-202501-006087,2025-01-04,Chihuahua,Energía,Flete nacional,"3.240,75",2026-07-01
CHI-202501-006114,2025-01-04,Chihuahua,Fletes,Calibración de equipo,"5.131,50",2026-07-01
CHI-202501-006141,2025-01-04,Chihuahua,refacciones,Equipo de protección,"2.877,50",2026-07-01
CHI-202501-006168,2025-01-04,Chihuahua,Calidad,Refacción prensa,"3.326,50",2026-07-01
CHI-202501-006195,2025-01-04,Chihuahua,Seguridad,Flete nacional,"2.878,25",2026-07-01
CUA-202501-003036,2025-01-04,Cuautitlán,MANTENIMIENTO,Refacción prensa,"10.229,25",2026-07-01
CUA-202501-003063,2025-01-04,Cuautitlán,Energía,Flete nacional,"3.828,25",2026-07-01
CUA-202501-003090,2025-01-04,Cuautitlán,Fletes,Calibración de equipo,"4.594,00",2026-07-01
CUA-202501-003117,2025-01-04,Cuautitlán,Refacciones,Equipo de protección,"2.818,50",2026-07-01
CUA-202501-003144,2025-01-04,Cuautitlán,Calidad,Refacción prensa,"6.917,00",2026-07-01
CUA-202501-003171,2025-01-04,Cuautitlán,  SEGURIDAD ,Flete nacional,"2.227,75",2026-07-01
HER-202501-000012,2025-01-04,Hermosillo,Mantenimiento,Refacción prensa,"7.585,25",2026-07-01
HER-202501-000039,2025-01-04,Hermosillo,Energía,Flete nacional,"4.284,50",2026-07-01
HER-202501-000066,2025-01-04,Hermosillo,fletes,Calibración de equipo,"5.318,25",2026-07-01
HER-202501-000093,2025-01-04,Hermosillo,Refacciones,Equipo de protección,"3.930,00",2026-07-01
HER-202501-000120,2025-01-04,Hermosillo,Calidad,Refacción prensa,"3.657,00",2026-07-01
HER-202501-000147,2025-01-04,Hermosillo,Seguridad,Flete nacional,"1.984,00",2026-07-01
IRA-202501-009084,2025-01-04,Irapuato,Mantenimiento,Refacción prensa,"6.914,00",2026-07-01
IRA-202501-009111,2025-01-04,Irapuato,ENERGÍA,Flete nacional,"3.875,00",2026-07-01
IRA-202501-009138,2025-01-04,Irapuato,Fletes,Calibración de equipo,"4.836,00",2026-07-01
IRA-202501-009165,2025-01-04,Irapuato,Refacciones,Equipo de protección,"2.400,00",2026-07-01
IRA-202501-009192,2025-01-04,Irapuato,Calidad,Refacción prensa,"2.955,00",2026-07-01
IRA-202501-009219,2025-01-04,Irapuato,Seguridad,Flete nacional,"1.403,00",2026-07-01
CHI-202501-006064,2025-01-05,Chihuahua,Mantenimiento,Flete de importación,"11.266,25",2026-07-01
CHI-202501-006091,2025-01-05,Chihuahua,nómina indirecta,Nómina de apoyo,"-6.059,00",2026-07-01
CHI-202501-006118,2025-01-05,Chihuahua,Fletes,Reparación correctiva,"5.052,50",2026-07-01
CHI-202501-006145,2025-01-05,Chihuahua,Refacciones,Mantenimiento preventivo,"2.418,75",2026-07-01
CHI-202501-006172,2025-01-05,Chihuahua,Calidad,Flete de importación,"3.235,50",2026-07-01
CHI-202501-006199,2025-01-05,Chihuahua,Sistemas,Nómina de apoyo,"1.963,50",2026-07-01
CUA-202501-003040,2025-01-05,Cuautitlán,Mantenimiento,Flete de importación,"10.639,00",2026-07-01
CUA-202501-003067,2025-01-05,Cuautitlán,Nómina Indirecta,Nómina de apoyo,"-3.459,50",2026-07-01
CUA-202501-003094,2025-01-05,Cuautitlán,Fletes,Reparación correctiva,"5.790,75",2026-07-01
CUA-202501-003121,2025-01-05,Cuautitlán,  REFACCIONES ,Mantenimiento preventivo,"2.156,00",2026-07-01
CUA-202501-003148,2025-01-05,Cuautitlán,Calidad,Flete de importación,"5.697,50",2026-07-01
CUA-202501-003175,2025-01-05,Cuautitlán,Sistemas,Nómina de apoyo,"1.398,75",2026-07-01
HER-202501-000016,2025-01-05,Hermosillo,mantenimiento,Flete de importación,"10.894,50",2026-07-01
HER-202501-000043,2025-01-05,Hermosillo,Nómina Indirecta,Nómina de apoyo,"-5.895,25",2026-07-01
HER-202501-000070,2025-01-05,Hermosillo,Fletes,Reparación correctiva,"4.257,50",2026-07-01
HER-202501-000097,2025-01-05,Hermosillo,Refacciones,Mantenimiento preventivo,"3.644,75",2026-07-01
HER-202501-000124,2025-01-05,Hermosillo,Calidad,Flete de importación,"2.675,25",2026-07-01
HER-202501-000151,2025-01-05,Hermosillo,Sistemas ,Nómina de apoyo,"1.801,50",2026-07-01
IRA-202501-009088,2025-01-05,Irapuato,Mantenimiento,Flete de importación,"6.729,75",2026-07-01
IRA-202501-009115,2025-01-05,Irapuato,Nómina Indirecta,Nómina de apoyo,"-5.466,25",2026-07-01
IRA-202501-009142,2025-01-05,Irapuato,Fletes,Reparación correctiva,"3.914,75",2026-07-01
IRA-202501-009169,2025-01-05,Irapuato,Refacciones,Mantenimiento preventivo,"2.521,00",2026-07-01
IRA-202501-009196,2025-01-05,Irapuato,  CALIDAD ,Flete de importación,"2.948,50",2026-07-01
IRA-202501-009223,2025-01-05,Irapuato,Sistemas,Nómina de apoyo,"1.445,75",2026-07-01
CHI-202501-006068,2025-01-06,Chihuahua,Mantenimiento,Licencia de software,"11.770,25",2026-07-01
CHI-202501-006095,2025-01-06,Chihuahua,Nómina Indirecta,Renta de montacargas,"5.343,75",2026-07-01
CHI-202501-006122,2025-01-06,Chihuahua,Fletes,Consumo eléctrico,"7.158,50",2026-07-01
CHI-202501-006149,2025-01-06,Chihuahua,Refacciones,Servicio externo,"2.829,50",2026-07-01
CHI-202501-006176,2025-01-06,Chihuahua,Seguridad ,Licencia de software,"3.746,00",2026-07-01
CHI-202501-006203,2025-01-06,Chihuahua,Sistemas,Renta de montacargas,"1.549,75",2026-07-01
CUA-202501-003044,2025-01-06,Cuautitlán,Mantenimiento,Licencia de software,"9.673,25",2026-07-01
CUA-202501-003071,2025-01-06,Cuautitlán,  NÓMINA INDIRECTA ,Renta de montacargas,"4.960,75",2026-07-01
CUA-202501-003098,2025-01-06,Cuautitlán,Fletes,Consumo eléctrico,"5.595,50",2026-07-01
CUA-202501-003125,2025-01-06,Cuautitlán,Refacciones,Servicio externo,"3.740,25",2026-07-01
CUA-202501-003152,2025-01-06,Cuautitlán,Seguridad,Licencia de software,"2.823,75",2026-07-01
CUA-202501-003179,2025-01-06,Cuautitlán,Sistemas,Renta de montacargas,"1.020,50",2026-07-01
HER-202501-000020,2025-01-06,Hermosillo,Mantenimiento,Licencia de software,"10.636,00",2026-07-01
HER-202501-000047,2025-01-06,Hermosillo,Nómina Indirecta,Renta de montacargas,"5.333,00",2026-07-01
HER-202501-000074,2025-01-06,Hermosillo,Fletes,Consumo eléctrico,"4.766,25",2026-07-01
HER-202501-000101,2025-01-06,Hermosillo,Refacciones ,Servicio externo,"2.507,25",2026-07-01
HER-202501-000128,2025-01-06,Hermosillo,Seguridad,Licencia de software,"3.791,00",2026-07-01
HER-202501-000155,2025-01-06,Hermosillo,Sistemas,Renta de montacargas,"1.749,25",2026-07-01
IRA-202501-009092,2025-01-06,Irapuato,Mantenimiento,Licencia de software,"6.727,75",2026-07-01
IRA-202501-009119,2025-01-06,Irapuato,Nómina Indirecta,Renta de montacargas,"4.039,25",2026-07-01
IRA-202501-009146,2025-01-06,Irapuato,  FLETES ,Consumo eléctrico,"4.593,25",2026-07-01
IRA-202501-009173,2025-01-06,Irapuato,Refacciones,Servicio externo,"1.642,50",2026-07-01
IRA-202501-009200,2025-01-06,Irapuato,Seguridad,Licencia de software,"2.690,00",2026-07-01
IRA-202501-009227,2025-01-06,Irapuato,Sistemas,Renta de montacargas,"1.449,00",2026-07-01
CHI-202501-006072,2025-01-07,Chihuahua,Energía,Refacción prensa,"8.239,75",2026-07-01
CHI-202501-006099,2025-01-07,Chihuahua,Nómina Indirecta,Flete nacional,"3.751,75",2026-07-01
CHI-202501-006126,2025-01-07,Chihuahua,Fletes ,Calibración de equipo,"7.156,50",2026-07-01
CHI-202501-006153,2025-01-07,Chihuahua,Refacciones,Equipo de protección,"2.958,00",2026-07-01
CHI-202501-006180,2025-01-07,Chihuahua,Seguridad,Refacción prensa,"4.167,50",2026-07-01
CHI-202501-006207,2025-01-07,Chihuahua,Sistemas,Flete nacional,"1.758,00",2026-07-01
CUA-202501-003048,2025-01-07,Cuautitlán,Energía,Refacción prensa,"4.964,25",2026-07-01
CUA-202501-003075,2025-01-07,Cuautitlán,Nómina Indirecta,Flete nacional,"4.855,25",2026-07-01
CUA-202501-003102,2025-01-07,Cuautitlán,Fletes,Calibración de equipo,"4.467,75",2026-07-01
CUA-202501-003129,2025-01-07,Cuautitlán,Refacciones,Equipo de protección,"3.944,75",2026-07-01
CUA-202501-003156,2025-01-07,Cuautitlán, Seguridad,Refacción prensa,"3.000,50",2026-07-01
CUA-202501-003183,2025-01-07,Cuautitlán,Sistemas,Flete nacional,"1.050,75",2026-07-01
HER-202501-000024,2025-01-07,Hermosillo,Energía,Refacción prensa,"6.939,00",2026-07-01
HER-202501-000051,2025-01-07,Hermosillo,Nómina Indirecta ,Flete nacional,"4.512,00",2026-07-01
HER-202501-000078,2025-01-07,Hermosillo,Fletes,Calibración de equipo,"5.437,75",2026-07-01
HER-202501-000105,2025-01-07,Hermosillo,Refacciones,Equipo de protección,"2.001,75",2026-07-01
HER-202501-000132,2025-01-07,Hermosillo,Seguridad,Refacción prensa,"3.715,00",2026-07-01
HER-202501-000159,2025-01-07,Hermosillo,Sistemas,Flete nacional,"1.810,75",2026-07-01
IRA-202501-009096,2025-01-07,Irapuato,  ENERGÍA ,Refacción prensa,"4.472,50",2026-07-01
IRA-202501-009123,2025-01-07,Irapuato,Nómina Indirecta,Flete nacional,"3.614,00",2026-07-01
IRA-202501-009150,2025-01-07,Irapuato,Fletes,Calibración de equipo,"3.633,75",2026-07-01
IRA-202501-009177,2025-01-07,Irapuato,Refacciones,Equipo de protección,"2.677,75",2026-07-01
IRA-202501-009204,2025-01-07,Irapuato,Seguridad,Refacción prensa,"2.557,50",2026-07-01
IRA-202501-009231,2025-01-07,Irapuato, Sistemas,Flete nacional,"1.293,75",2026-07-01
CHI-202501-006049,2025-01-08,Chihuahua,Mantenimiento,Mantenimiento preventivo,"-8.979,25",2026-07-01
CHI-202501-006076,2025-01-08,Chihuahua,Energía ,Flete de importación,"9.374,00",2026-07-01
CHI-202501-006103,2025-01-08,Chihuahua,Nómina Indirecta,Nómina de apoyo,"4.722,75",2026-07-01
CHI-202501-006130,2025-01-08,Chihuahua,Fletes,Reparación correctiva,"4.934,25",2026-07-01
CHI-202501-006157,2025-01-08,Chihuahua,Calidad,Mantenimiento preventivo,"2.087,00",2026-07-01
CHI-202501-006184,2025-01-08,Chihuahua,Seguridad,Flete de importación,"3.651,25",2026-07-01
CHI-202501-006211,2025-01-08,Chihuahua,SISTEMAS,Nómina de apoyo,"2.023,50",2026-07-01
CUA-202501-003025,2025-01-08,Cuautitlán,Mantenimiento,Mantenimiento preventivo,"-5.141,00",2026-07-01
CUA-202501-003052,2025-01-08,Cuautitlán,Energía,Flete de importación,"5.711,75",2026-07-01
CUA-202501-003079,2025-01-08,Cuautitlán,Nómina Indirecta,Nómina de apoyo,"4.514,25",2026-07-01
CUA-202501-003106,2025-01-08,Cuautitlán, Fletes,Reparación correctiva,"4.744,75",2026-07-01
CUA-202501-003133,2025-01-08,Cuautitlán,Calidad,Mantenimiento preventivo,"3.977,25",2026-07-01
CUA-202501-003160,2025-01-08,Cuautitlán,Seguridad,Flete de importación,"3.170,50",2026-07-01
CUA-202501-003187,2025-01-08,Cuautitlán,Sistemas,Nómina de apoyo,"1.380,75",2026-07-01
HER-202501-000001,2025-01-08,Hermosillo,Mantenimiento ,Mantenimiento preventivo,"-4.425,25",2026-07-01
HER-202501-000028,2025-01-08,Hermosillo,Energía,Flete de importación,"5.763,75",2026-07-01
HER-202501-000055,2025-01-08,Hermosillo,Nómina Indirecta,Nómina de apoyo,"3.564,75",2026-07-01
HER-202501-000082,2025-01-08,Hermosillo,Fletes,Reparación correctiva,"4.261,00",2026-07-01
HER-202501-000109,2025-01-08,Hermosillo,Calidad,Mantenimiento preventivo,"1.777,75",2026-07-01
HER-202501-000136,2025-01-08,Hermosillo,SEGURIDAD,Flete de importación,"3.576,00",2026-07-01
HER-202501-000163,2025-01-08,Hermosillo,Sistemas,Nómina de apoyo,"1.755,00",2026-07-01
IRA-202501-009073,2025-01-08,Irapuato,Mantenimiento,Mantenimiento preventivo,"-4.299,50",2026-07-01
IRA-202501-009100,2025-01-08,Irapuato,Energía,Flete de importación,"5.392,75",2026-07-01
IRA-202501-009127,2025-01-08,Irapuato,Nómina Indirecta,Nómina de apoyo,"3.466,50",2026-07-01
IRA-202501-009154,2025-01-08,Irapuato,Fletes,Reparación correctiva,"4.255,25",2026-07-01
IRA-202501-009181,2025-01-08,Irapuato, Calidad,Mantenimiento preventivo,"1.892,00",2026-07-01
IRA-202501-009208,2025-01-08,Irapuato,Seguridad,Flete de importación,"2.368,50",2026-07-01
IRA-202501-009235,2025-01-08,Irapuato,Sistemas,Nómina de apoyo,"1.322,25",2026-07-01
CHI-202501-006053,2025-01-09,Chihuahua,Mantenimiento,Servicio externo,"8.550,75",2026-07-01
CHI-202501-006080,2025-01-09,Chihuahua,Energía,Licencia de software,"6.839,50",2026-07-01
CHI-202501-006107,2025-01-09,Chihuahua,Nómina Indirecta,Renta de montacargas,"4.278,25",2026-07-01
CHI-202501-006134,2025-01-09,Chihuahua,Refacciones,Consumo eléctrico,"5.798,25",2026-07-01
CHI-202501-006161,2025-01-09,Chihuahua,CALIDAD,Servicio externo,"1.728,50",2026-07-01
CHI-202501-006188,2025-01-09,Chihuahua,Seguridad,Licencia de software,"3.428,25",2026-07-01
CHI-202501-006215,2025-01-09,Chihuahua,Sistemas,Renta de montacargas,"1.196,00",2026-07-01
CUA-202501-003029,2025-01-09,Cuautitlán,Mantenimiento,Servicio externo,"5.960,00",2026-07-01
CUA-202501-003056,2025-01-09,Cuautitlán, Energía,Licencia de software,"5.892,00",2026-07-01
CUA-202501-003083,2025-01-09,Cuautitlán,Nómina Indirecta,Renta de montacargas,"4.351,25",2026-07-01
CUA-202501-003110,2025-01-09,Cuautitlán,Refacciones,Consumo eléctrico,"4.748,75",2026-07-01
CUA-202501-003137,2025-01-09,Cuautitlán,Calidad,Servicio externo,"3.030,75",2026-07-01
CUA-202501-003164,2025-01-09,Cuautitlán,Seguridad,Licencia de software,"3.135,25",2026-07-01
CUA-202501-003191,2025-01-09,Cuautitlán,sistemas,Renta de montacargas,"1.895,50",2026-07-01
HER-202501-000005,2025-01-09,Hermosillo,Mantenimiento,Servicio externo,"5.150,50",2026-07-01
HER-202501-000032,2025-01-09,Hermosillo,Energía,Licencia de software,"7.412,00",2026-07-01
HER-202501-000059,2025-01-09,Hermosillo,Nómina Indirecta,Renta de montacargas,"3.141,00",2026-07-01
HER-202501-000086,2025-01-09,Hermosillo,REFACCIONES,Consumo eléctrico,"4.514,50",2026-07-01
HER-202501-000113,2025-01-09,Hermosillo,Calidad,Servicio externo,"1.602,25",2026-07-01
HER-202501-000140,2025-01-09,Hermosillo,Seguridad,Licencia de software,"3.800,00",2026-07-01
HER-202501-000167,2025-01-09,Hermosillo,Sistemas,Renta de montacargas,"1.644,50",2026-07-01
IRA-202501-009077,2025-01-09,Irapuato,Mantenimiento,Servicio externo,"4.375,00",2026-07-01
IRA-202501-009104,2025-01-09,Irapuato,Energía,Licencia de software,"6.057,00",2026-07-01
IRA-202501-009131,2025-01-09,Irapuato, Nómina Indirecta,Renta de montacargas,"3.947,50",2026-07-01
IRA-202501-009158,2025-01-09,Irapuato,Refacciones,Consumo eléctrico,"4.497,50",2026-07-01
IRA-202501-009185,2025-01-09,Irapuato,Calidad,Servicio externo,"1.442,00",2026-07-01
IRA-202501-009212,2025-01-09,Irapuato,Seguridad,Licencia de software,"2.322,25",2026-07-01
IRA-202501-009239,2025-01-09,Irapuato,Sistemas,Renta de montacargas,"1.156,25",2026-07-01
CHI-202501-006057,2025-01-10,Chihuahua,Mantenimiento,Equipo de protección,"4.917,25",2026-07-01
CHI-202501-006084,2025-01-10,Chihuahua,Energía,Refacción prensa,"6.581,75",2026-07-01
CHI-202501-006111,2025-01-10,Chihuahua,NÓMINA INDIRECTA,Flete nacional,"3.985,50",2026-07-01
CHI-202501-006138,2025-01-10,Chihuahua,Refacciones,Calibración de equipo,"4.656,25",2026-07-01
CHI-202501-006165,2025-01-10,Chihuahua,Calidad,Equipo de protección,"1.937,25",2026-07-01
CHI-202501-006192,2025-01-10,Chihuahua,Seguridad,Refacción prensa,"4.066,50",2026-07-01
CUA-202501-003033,2025-01-10,Cuautitlán,Mantenimiento,Equipo de protección,"5.028,50",2026-07-01
CUA-202501-003060,2025-01-10,Cuautitlán,Energía,Refacción prensa,"5.979,00",2026-07-01
CUA-202501-003087,2025-01-10,Cuautitlán,Nómina Indirecta,Flete nacional,"3.216,25",2026-07-01
CUA-202501-003114,2025-01-10,Cuautitlán,Refacciones,Calibración de equipo,"4.964,75",2026-07-01
CUA-202501-003141,2025-01-10,Cuautitlán,calidad,Equipo de protección,"4.669,50",2026-07-01
CUA-202501-003168,2025-01-10,Cuautitlán,Seguridad,Refacción prensa,"2.577,75",2026-07-01
HER-202501-000009,2025-01-10,Hermosillo,Mantenimiento,Equipo de protección,"6.629,25",2026-07-01
HER-202501-000036,2025-01-10,Hermosillo,ENERGÍA,Refacción prensa,"7.518,50",2026-07-01
HER-202501-000063,2025-01-10,Hermosillo,Nómina Indirecta,Flete nacional,"5.054,50",2026-07-01
HER-202501-000090,2025-01-10,Hermosillo,Refacciones,Calibración de equipo,"5.410,25",2026-07-01
HER-202501-000117,2025-01-10,Hermosillo,Calidad,Equipo de protección,"2.116,50",2026-07-01
HER-202501-000144,2025-01-10,Hermosillo,Seguridad,Refacción prensa,"3.033,50",2026-07-01
IRA-202501-009081,2025-01-10,Irapuato, Mantenimiento,Equipo de protección,"4.259,50",2026-07-01
IRA-202501-009108,2025-01-10,Irapuato,Energía,Refacción prensa,"6.122,25",2026-07-01
IRA-202501-009135,2025-01-10,Irapuato,Nómina Indirecta,Flete nacional,"3.352,00",2026-07-01
IRA-202501-009162,2025-01-10,Irapuato,Refacciones,Calibración de equipo,"4.122,25",2026-07-01
IRA-202501-009189,2025-01-10,Irapuato,Calidad,Equipo de protección,"1.206,75",2026-07-01
IRA-202501-009216,2025-01-10,Irapuato,seguridad,Refacción prensa,"2.054,25",2026-07-01
CHI-202501-006061,2025-01-11,Chihuahua,MANTENIMIENTO,Mantenimiento preventivo,"5.915,50",2026-07-01
CHI-202501-006088,2025-01-11,Chihuahua,Energía,Flete de importación,"8.993,50",2026-07-01
CHI-202501-006115,2025-01-11,Chihuahua,Fletes,Nómina de apoyo,"4.494,50",2026-07-01
CHI-202501-006142,2025-01-11,Chihuahua,Refacciones,Reparación correctiva,"5.994,25",2026-07-01
CHI-202501-006169,2025-01-11,Chihuahua,Calidad,Mantenimiento preventivo,"2.584,00",2026-07-01
CHI-202501-006196,2025-01-11,Chihuahua,  SISTEMAS ,Flete de importación,"3.130,75",2026-07-01
CUA-202501-003037,2025-01-11,Cuautitlán,Mantenimiento,Mantenimiento preventivo,"5.605,75",2026-07-01
CUA-202501-003064,2025-01-11,Cuautitlán,Energía,Flete de importación,"6.441,75",2026-07-01
CUA-202501-003091,2025-01-11,Cuautitlán,fletes,Nómina de apoyo,"3.941,50",2026-07-01
CUA-202501-003118,2025-01-11,Cuautitlán,Refacciones,Reparación correctiva,"4.760,50",2026-07-01
CUA-202501-003145,2025-01-11,Cuautitlán,Calidad,Mantenimiento preventivo,"2.489,00",2026-07-01
