planta,centro_costo,anio,mes,monto_presupuesto,cargado_en
Cuautitlán,Calidad,2025,9,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,9,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,9,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,10,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,10,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,10,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,10,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,10,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,10,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,10,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,10,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,11,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,11,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,11,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,11,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,11,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,11,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,11,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,11,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,12,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,12,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,12,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,12,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,12,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,12,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,12,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,12,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,1,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,1,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,1,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,1,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,1,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,1,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,1,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,1,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,2,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,2,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,2,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,2,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,2,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,2,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,2,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,2,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,3,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,3,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,3,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,3,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,3,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,3,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,3,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,3,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,4,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,4,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,4,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,4,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,4,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,4,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,4,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,4,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,5,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,5,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,5,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,5,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,5,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,5,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,5,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,5,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2026,6,"154.000,00",2026-07-01
Cuautitlán,Energía,2026,6,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2026,6,"112.000,00",2026-07-01
Cuautitlán,Fletes,2026,6,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2026,6,"77.000,00",2026-07-01
Cuautitlán,Calidad,2026,6,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2026,6,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2026,6,"42.000,00",2026-07-01
Chihuahua,Mantenimiento,2025,1,"171.600,00",2026-07-01
Chihuahua,Energía,2025,1,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,1,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,1,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,1,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,1,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,1,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,1,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,2,"171.600,00",2026-07-01
Chihuahua,Energía,2025,2,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,2,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,2,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,2,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,2,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,2,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,2,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,3,"171.600,00",2026-07-01
Chihuahua,Energía,2025,3,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,3,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,3,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,3,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,3,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,3,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,3,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,4,"171.600,00",2026-07-01
Chihuahua,Energía,2025,4,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,4,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,4,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,4,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,4,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,4,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,4,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,5,"171.600,00",2026-07-01
Chihuahua,Energía,2025,5,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,5,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,5,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,5,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,5,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,5,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,5,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,6,"171.600,00",2026-07-01
Chihuahua,Energía,2025,6,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,6,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,6,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,6,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,6,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,6,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,6,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,7,"171.600,00",2026-07-01
Chihuahua,Energía,2025,7,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,7,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,7,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,7,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,7,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,7,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,7,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,8,"171.600,00",2026-07-01
Chihuahua,Energía,2025,8,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,8,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,8,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,8,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,8,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,8,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,8,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,9,"171.600,00",2026-07-01
Chihuahua,Energía,2025,9,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,9,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,9,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,9,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,9,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,9,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,9,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,10,"171.600,00",2026-07-01
Chihuahua,Energía,2025,10,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,10,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,10,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,10,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,10,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,10,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,10,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,11,"171.600,00",2026-07-01
Chihuahua,Energía,2025,11,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,11,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,11,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,11,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,11,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,11,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,11,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2025,12,"171.600,00",2026-07-01
Chihuahua,Energía,2025,12,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2025,12,"124.800,00",2026-07-01
Chihuahua,Fletes,2025,12,"101.400,00",2026-07-01
Chihuahua,Refacciones,2025,12,"85.800,00",2026-07-01
Chihuahua,Calidad,2025,12,"62.400,00",2026-07-01
Chihuahua,Seguridad,2025,12,"54.600,00",2026-07-01
Chihuahua,Sistemas,2025,12,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,1,"171.600,00",2026-07-01
Chihuahua,Energía,2026,1,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,1,"124.800,00",2026-07-01
Chihuahua,Fletes,2026,1,"101.400,00",2026-07-01
Chihuahua,Refacciones,2026,1,"85.800,00",2026-07-01
Chihuahua,Calidad,2026,1,"62.400,00",2026-07-01
Chihuahua,Seguridad,2026,1,"54.600,00",2026-07-01
Chihuahua,Sistemas,2026,1,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,2,"171.600,00",2026-07-01
Chihuahua,Energía,2026,2,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,2,"124.800,00",2026-07-01
Chihuahua,Fletes,2026,2,"101.400,00",2026-07-01
Chihuahua,Refacciones,2026,2,"85.800,00",2026-07-01
Chihuahua,Calidad,2026,2,"62.400,00",2026-07-01
Chihuahua,Seguridad,2026,2,"54.600,00",2026-07-01
Chihuahua,Sistemas,2026,2,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,3,"171.600,00",2026-07-01
Chihuahua,Energía,2026,3,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,3,"124.800,00",2026-07-01
Chihuahua,Fletes,2026,3,"101.400,00",2026-07-01
Chihuahua,Refacciones,2026,3,"85.800,00",2026-07-01
Chihuahua,Calidad,2026,3,"62.400,00",2026-07-01
Chihuahua,Seguridad,2026,3,"54.600,00",2026-07-01
Chihuahua,Sistemas,2026,3,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,4,"171.600,00",2026-07-01
Chihuahua,Energía,2026,4,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,4,"124.800,00",2026-07-01
Chihuahua,Fletes,2026,4,"101.400,00",2026-07-01
Chihuahua,Refacciones,2026,4,"85.800,00",2026-07-01
Chihuahua,Calidad,2026,4,"62.400,00",2026-07-01
Chihuahua,Seguridad,2026,4,"54.600,00",2026-07-01
Chihuahua,Sistemas,2026,4,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,5,"171.600,00",2026-07-01
Chihuahua,Energía,2026,5,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,5,"124.800,00",2026-07-01
Chihuahua,Fletes,2026,5,"101.400,00",2026-07-01
Chihuahua,Refacciones,2026,5,"85.800,00",2026-07-01
Chihuahua,Calidad,2026,5,"62.400,00",2026-07-01
Chihuahua,Seguridad,2026,5,"54.600,00",2026-07-01
Chihuahua,Sistemas,2026,5,"46.800,00",2026-07-01
Chihuahua,Mantenimiento,2026,6,"171.600,00",2026-07-01
Chihuahua,Energía,2026,6,"132.600,00",2026-07-01
Chihuahua,Nómina Indirecta,2026,6,"124.800,00",2026-07-01
