folio,fecha,planta,centro_costo,concepto,monto,cargado_en
HER-202501-000945,2025-01-01,Hermosillo,Seguridad,Equipo de protección,"2.924,25",2026-07-01
IRA-202501-009126,2025-01-01,Irapuato,Mantenimiento ,Calibración de equipo,"7.007,25",2026-07-01
IRA-202501-009153,2025-01-01,Irapuato,Energía,Equipo de protección,"7.453,00",2026-07-01
IRA-202501-009180,2025-01-01,Irapuato,Nómina Indirecta,Refacción prensa,"2.948,75",2026-07-01
IRA-202501-009207,2025-01-01,Irapuato,Refacciones,Flete nacional,"4.195,00",2026-07-01
IRA-202501-009234,2025-01-01,Irapuato,Calidad,Calibración de equipo,"1.904,25",2026-07-01
IRA-202501-009261,2025-01-01,Irapuato,SISTEMAS,Equipo de protección,"2.362,00",2026-07-01
CHI-202501-006241,2025-01-02,Chihuahua,mantenimiento,Mantenimiento preventivo,"-4.627,50",2026-07-01
CHI-202501-006268,2025-01-02,Chihuahua,Energía,Flete de importación,"3.682,25",2026-07-01
CHI-202501-006295,2025-01-02,Chihuahua,Nómina Indirecta,Nómina de apoyo,"7.169,50",2026-07-01
CHI-202501-006322,2025-01-02,Chihuahua,Refacciones,Reparación correctiva,"3.167,50",2026-07-01
CHI-202501-006349,2025-01-02,Chihuahua,Calidad,Mantenimiento preventivo,"4.263,75",2026-07-01
CHI-202501-006376,2025-01-02,Chihuahua,Seguridad ,Flete de importación,"4.783,00",2026-07-01
CUA-202501-003325,2025-01-02,Cuautitlán,Mantenimiento,Mantenimiento preventivo,"10.253,00",2026-07-01
CUA-202501-003352,2025-01-02,Cuautitlán,Energía,Flete de importación,"5.967,00",2026-07-01
CUA-202501-003379,2025-01-02,Cuautitlán,Nómina Indirecta,Nómina de apoyo,"7.213,75",2026-07-01
CUA-202501-003406,2025-01-02,Cuautitlán, Refacciones,Reparación correctiva,"2.472,75",2026-07-01
CUA-202501-003433,2025-01-02,Cuautitlán,Calidad,Mantenimiento preventivo,"1.349,75",2026-07-01
CUA-202501-003460,2025-01-02,Cuautitlán,Seguridad,Flete de importación,"1.613,75",2026-07-01
CUA-202501-003487,2025-01-02,Cuautitlán,Sistemas,Nómina de apoyo,"1.369,00",2026-07-01
HER-202501-000814,2025-01-02,Hermosillo,Mantenimiento,Reparación correctiva,"4.336,75",2026-07-01
HER-202501-000841,2025-01-02,Hermosillo,energía,Mantenimiento preventivo,"3.549,25",2026-07-01
HER-202501-000868,2025-01-02,Hermosillo,Fletes,Flete de importación,"5.759,00",2026-07-01
HER-202501-000895,2025-01-02,Hermosillo,Refacciones,Nómina de apoyo,"3.762,00",2026-07-01
HER-202501-000922,2025-01-02,Hermosillo,Calidad,Reparación correctiva,"3.600,25",2026-07-01
HER-202501-000949,2025-01-02,Hermosillo,Sistemas,Mantenimiento preventivo,"1.564,00",2026-07-01
IRA-202501-009130,2025-01-02,Irapuato,Mantenimiento,Reparación correctiva,"8.367,00",2026-07-01
IRA-202501-009157,2025-01-02,Irapuato,Energía,Mantenimiento preventivo,"6.313,75",2026-07-01
IRA-202501-009184,2025-01-02,Irapuato,Fletes,Flete de importación,"5.508,25",2026-07-01
IRA-202501-009211,2025-01-02,Irapuato,REFACCIONES,Nómina de apoyo,"3.614,50",2026-07-01
IRA-202501-009238,2025-01-02,Irapuato,Calidad,Reparación correctiva,"1.389,50",2026-07-01
IRA-202501-009265,2025-01-02,Irapuato,Sistemas,Mantenimiento preventivo,"2.058,00",2026-07-01
CHI-202501-006245,2025-01-03,Chihuahua,Mantenimiento,Servicio externo,"5.947,25",2026-07-01
CHI-202501-006272,2025-01-03,Chihuahua,Energía,Licencia de software,"6.841,25",2026-07-01
CHI-202501-006299,2025-01-03,Chihuahua,Nómina Indirecta,Renta de montacargas,"7.351,75",2026-07-01
CHI-202501-006326,2025-01-03,Chihuahua,Refacciones ,Consumo eléctrico,"4.090,75",2026-07-01
CHI-202501-006353,2025-01-03,Chihuahua,Calidad,Servicio externo,"3.773,75",2026-07-01
CHI-202501-006380,2025-01-03,Chihuahua,Seguridad,Licencia de software,"3.228,50",2026-07-01
CUA-202501-003329,2025-01-03,Cuautitlán,Mantenimiento,Servicio externo,"9.643,25",2026-07-01
CUA-202501-003356,2025-01-03,Cuautitlán, Energía,Licencia de software,"5.661,75",2026-07-01
CUA-202501-003383,2025-01-03,Cuautitlán,Nómina Indirecta,Renta de montacargas,"5.323,00",2026-07-01
CUA-202501-003410,2025-01-03,Cuautitlán,Refacciones,Consumo eléctrico,"3.221,75",2026-07-01
CUA-202501-003437,2025-01-03,Cuautitlán,Calidad,Servicio externo,"2.036,00",2026-07-01
CUA-202501-003464,2025-01-03,Cuautitlán,Seguridad,Licencia de software,"1.242,75",2026-07-01
HER-202501-000818,2025-01-03,Hermosillo,Mantenimiento,Consumo eléctrico,"6.168,25",2026-07-01
HER-202501-000845,2025-01-03,Hermosillo,Nómina Indirecta,Servicio externo,"6.277,75",2026-07-01
HER-202501-000872,2025-01-03,Hermosillo,Fletes,Licencia de software,"4.942,00",2026-07-01
HER-202501-000899,2025-01-03,Hermosillo,Refacciones,Renta de montacargas,"4.624,25",2026-07-01
HER-202501-000926,2025-01-03,Hermosillo,Calidad ,Consumo eléctrico,"2.588,25",2026-07-01
HER-202501-000953,2025-01-03,Hermosillo,Sistemas,Servicio externo,"1.755,75",2026-07-01
IRA-202501-009134,2025-01-03,Irapuato,Mantenimiento,Consumo eléctrico,"8.993,50",2026-07-01
IRA-202501-009161,2025-01-03,Irapuato,NÓMINA INDIRECTA,Servicio externo,"6.464,75",2026-07-01
IRA-202501-009188,2025-01-03,Irapuato,Fletes,Licencia de software,"5.893,25",2026-07-01
IRA-202501-009215,2025-01-03,Irapuato,Refacciones,Renta de montacargas,"4.147,25",2026-07-01
IRA-202501-009242,2025-01-03,Irapuato,Seguridad,Consumo eléctrico,"2.710,25",2026-07-01
IRA-202501-009269,2025-01-03,Irapuato,Sistemas,Servicio externo,"1.805,75",2026-07-01
CHI-202501-006249,2025-01-04,Chihuahua,Mantenimiento,Equipo de protección,"8.482,00",2026-07-01
CHI-202501-006276,2025-01-04,Chihuahua,Energía ,Refacción prensa,"6.491,25",2026-07-01
CHI-202501-006303,2025-01-04,Chihuahua,Fletes,Flete nacional,"4.242,50",2026-07-01
CHI-202501-006330,2025-01-04,Chihuahua,Refacciones,Calibración de equipo,"3.103,50",2026-07-01
CHI-202501-006357,2025-01-04,Chihuahua,Calidad,Equipo de protección,"3.547,50",2026-07-01
CHI-202501-006384,2025-01-04,Chihuahua,Sistemas,Refacción prensa,"2.318,75",2026-07-01
CUA-202501-003333,2025-01-04,Cuautitlán,Mantenimiento,Equipo de protección,"8.314,25",2026-07-01
CUA-202501-003360,2025-01-04,Cuautitlán,Energía,Refacción prensa,"5.748,50",2026-07-01
CUA-202501-003387,2025-01-04,Cuautitlán,Fletes,Flete nacional,"3.297,75",2026-07-01
CUA-202501-003414,2025-01-04,Cuautitlán,Refacciones,Calibración de equipo,"2.694,75",2026-07-01
CUA-202501-003441,2025-01-04,Cuautitlán,calidad,Equipo de protección,"1.555,25",2026-07-01
CUA-202501-003468,2025-01-04,Cuautitlán,Sistemas,Refacción prensa,"2.500,25",2026-07-01
HER-202501-000822,2025-01-04,Hermosillo,Energía,Calibración de equipo,"7.493,50",2026-07-01
HER-202501-000849,2025-01-04,Hermosillo,Nómina Indirecta,Equipo de protección,"6.883,00",2026-07-01
HER-202501-000876,2025-01-04,Hermosillo,Fletes ,Refacción prensa,"4.218,75",2026-07-01
HER-202501-000903,2025-01-04,Hermosillo,Refacciones,Flete nacional,"3.882,25",2026-07-01
HER-202501-000930,2025-01-04,Hermosillo,Seguridad,Calibración de equipo,"1.784,75",2026-07-01
HER-202501-000957,2025-01-04,Hermosillo,Sistemas,Equipo de protección,"974,75",2026-07-01
IRA-202501-009138,2025-01-04,Irapuato,Mantenimiento,Calibración de equipo,"9.761,50",2026-07-01
IRA-202501-009165,2025-01-04,Irapuato,Nómina Indirecta,Equipo de protección,"5.836,00",2026-07-01
IRA-202501-009192,2025-01-04,Irapuato,Fletes,Refacción prensa,"5.057,75",2026-07-01
IRA-202501-009219,2025-01-04,Irapuato,Refacciones,Flete nacional,"2.987,50",2026-07-01
IRA-202501-009246,2025-01-04,Irapuato,  SEGURIDAD ,Calibración de equipo,"2.191,50",2026-07-01
IRA-202501-009273,2025-01-04,Irapuato,Sistemas,Equipo de protección,"2.401,25",2026-07-01
CHI-202501-006253,2025-01-05,Chihuahua,Mantenimiento,Mantenimiento preventivo,"7.185,50",2026-07-01
CHI-202501-006280,2025-01-05,Chihuahua,Energía,Flete de importación,"3.656,25",2026-07-01
CHI-202501-006307,2025-01-05,Chihuahua,Fletes,Nómina de apoyo,"4.071,00",2026-07-01
CHI-202501-006334,2025-01-05,Chihuahua,Refacciones,Reparación correctiva,"3.328,25",2026-07-01
CHI-202501-006361,2025-01-05,Chihuahua,SEGURIDAD,Mantenimiento preventivo,"-2.467,50",2026-07-01
CHI-202501-006388,2025-01-05,Chihuahua,Sistemas,Flete de importación,"1.979,75",2026-07-01
CUA-202501-003337,2025-01-05,Cuautitlán,Mantenimiento,Mantenimiento preventivo,"9.989,50",2026-07-01
CUA-202501-003364,2025-01-05,Cuautitlán,Nómina Indirecta,Flete de importación,"3.727,25",2026-07-01
CUA-202501-003391,2025-01-05,Cuautitlán,fletes,Nómina de apoyo,"3.984,00",2026-07-01
CUA-202501-003418,2025-01-05,Cuautitlán,Refacciones,Reparación correctiva,"3.821,25",2026-07-01
CUA-202501-003445,2025-01-05,Cuautitlán,Calidad,Mantenimiento preventivo,"1.439,25",2026-07-01
CUA-202501-003472,2025-01-05,Cuautitlán,Sistemas,Flete de importación,"2.593,00",2026-07-01
HER-202501-000826,2025-01-05,Hermosillo,Energía ,Reparación correctiva,"5.313,25",2026-07-01
HER-202501-000853,2025-01-05,Hermosillo,Nómina Indirecta,Mantenimiento preventivo,"5.326,00",2026-07-01
HER-202501-000880,2025-01-05,Hermosillo,Fletes,Flete de importación,"5.603,75",2026-07-01
HER-202501-000907,2025-01-05,Hermosillo,Calidad,Nómina de apoyo,"1.926,75",2026-07-01
HER-202501-000934,2025-01-05,Hermosillo,Seguridad,Reparación correctiva,"1.692,75",2026-07-01
HER-202501-000961,2025-01-05,Hermosillo,SISTEMAS,Mantenimiento preventivo,"1.222,25",2026-07-01
IRA-202501-009142,2025-01-05,Irapuato,Energía,Reparación correctiva,"3.505,25",2026-07-01
IRA-202501-009169,2025-01-05,Irapuato,Nómina Indirecta,Mantenimiento preventivo,"6.490,75",2026-07-01
IRA-202501-009196,2025-01-05,Irapuato,  FLETES ,Flete de importación,"5.583,25",2026-07-01
IRA-202501-009223,2025-01-05,Irapuato,Calidad,Nómina de apoyo,"2.675,75",2026-07-01
IRA-202501-009250,2025-01-05,Irapuato,Seguridad,Reparación correctiva,"2.684,00",2026-07-01
IRA-202501-009277,2025-01-05,Irapuato,Sistemas,Mantenimiento preventivo,"2.186,75",2026-07-01
CHI-202501-006257,2025-01-06,Chihuahua,Mantenimiento,Servicio externo,"8.185,25",2026-07-01
CHI-202501-006284,2025-01-06,Chihuahua,Nómina Indirecta,Licencia de software,"3.497,00",2026-07-01
CHI-202501-006311,2025-01-06,Chihuahua,FLETES,Renta de montacargas,"5.074,75",2026-07-01
CHI-202501-006338,2025-01-06,Chihuahua,Refacciones,Consumo eléctrico,"3.628,00",2026-07-01
CHI-202501-006365,2025-01-06,Chihuahua,Seguridad,Servicio externo,"2.949,75",2026-07-01
CHI-202501-006392,2025-01-06,Chihuahua,Sistemas,Licencia de software,"2.023,50",2026-07-01
CUA-202501-003341,2025-01-06,Cuautitlán,mantenimiento,Servicio externo,"7.367,50",2026-07-01
CUA-202501-003368,2025-01-06,Cuautitlán,Nómina Indirecta,Licencia de software,"4.767,25",2026-07-01
CUA-202501-003395,2025-01-06,Cuautitlán,Fletes,Renta de montacargas,"4.030,75",2026-07-01
CUA-202501-003422,2025-01-06,Cuautitlán,Refacciones,Consumo eléctrico,"2.642,50",2026-07-01
CUA-202501-003449,2025-01-06,Cuautitlán,Seguridad,Servicio externo,"2.649,50",2026-07-01
CUA-202501-003476,2025-01-06,Cuautitlán,Sistemas ,Licencia de software,"2.741,25",2026-07-01
HER-202501-000803,2025-01-06,Hermosillo,Mantenimiento,Renta de montacargas,"9.520,75",2026-07-01
HER-202501-000830,2025-01-06,Hermosillo,Energía,Consumo eléctrico,"6.014,75",2026-07-01
HER-202501-000857,2025-01-06,Hermosillo,Nómina Indirecta,Servicio externo,"5.870,50",2026-07-01
HER-202501-000884,2025-01-06,Hermosillo,Fletes,Licencia de software,"4.099,00",2026-07-01
HER-202501-000911,2025-01-06,Hermosillo,CALIDAD,Renta de montacargas,"1.384,50",2026-07-01
HER-202501-000938,2025-01-06,Hermosillo,Seguridad,Consumo eléctrico,"1.164,25",2026-07-01
HER-202501-000965,2025-01-06,Hermosillo,Sistemas,Servicio externo,"1.010,25",2026-07-01
IRA-202501-009146,2025-01-06,Irapuato,  ENERGÍA ,Consumo eléctrico,"3.372,25",2026-07-01
IRA-202501-009173,2025-01-06,Irapuato,Nómina Indirecta,Servicio externo,"5.276,50",2026-07-01
IRA-202501-009200,2025-01-06,Irapuato,Fletes,Licencia de software,"4.029,50",2026-07-01
IRA-202501-009227,2025-01-06,Irapuato,Calidad,Renta de montacargas,"2.297,25",2026-07-01
IRA-202501-009254,2025-01-06,Irapuato,Seguridad,Consumo eléctrico,"2.720,00",2026-07-01
CHI-202501-006261,2025-01-07,Chihuahua,ENERGÍA,Equipo de protección,"7.862,25",2026-07-01
CHI-202501-006288,2025-01-07,Chihuahua,Nómina Indirecta,Refacción prensa,"6.217,50",2026-07-01
CHI-202501-006315,2025-01-07,Chihuahua,Fletes,Flete nacional,"3.830,75",2026-07-01
CHI-202501-006342,2025-01-07,Chihuahua,Calidad,Calibración de equipo,"2.380,50",2026-07-01
CHI-202501-006369,2025-01-07,Chihuahua,Seguridad,Equipo de protección,"1.689,75",2026-07-01
CHI-202501-006396,2025-01-07,Chihuahua,  SISTEMAS ,Refacción prensa,"2.046,00",2026-07-01
CUA-202501-003345,2025-01-07,Cuautitlán,Energía,Equipo de protección,"4.552,00",2026-07-01
CUA-202501-003372,2025-01-07,Cuautitlán,Nómina Indirecta,Refacción prensa,"5.231,00",2026-07-01
CUA-202501-003399,2025-01-07,Cuautitlán,Fletes,Flete nacional,"3.199,50",2026-07-01
CUA-202501-003426,2025-01-07,Cuautitlán,Calidad ,Calibración de equipo,"3.720,25",2026-07-01
CUA-202501-003453,2025-01-07,Cuautitlán,Seguridad,Equipo de protección,"2.770,25",2026-07-01
CUA-202501-003480,2025-01-07,Cuautitlán,Sistemas,Refacción prensa,"3.169,00",2026-07-01
HER-202501-000807,2025-01-07,Hermosillo,Mantenimiento,Flete nacional,"10.340,25",2026-07-01
HER-202501-000834,2025-01-07,Hermosillo,Energía,Calibración de equipo,"6.498,50",2026-07-01
HER-202501-000861,2025-01-07,Hermosillo,NÓMINA INDIRECTA,Equipo de protección,"5.267,00",2026-07-01
HER-202501-000888,2025-01-07,Hermosillo,Refacciones,Refacción prensa,"3.432,25",2026-07-01
HER-202501-000915,2025-01-07,Hermosillo,Calidad,Flete nacional,"1.579,75",2026-07-01
HER-202501-000942,2025-01-07,Hermosillo,Seguridad,Calibración de equipo,"1.913,25",2026-07-01
IRA-202501-009123,2025-01-07,Irapuato,Mantenimiento,Flete nacional,"6.268,00",2026-07-01
IRA-202501-009150,2025-01-07,Irapuato,Energía,Calibración de equipo,"3.610,25",2026-07-01
IRA-202501-009177,2025-01-07,Irapuato,Nómina Indirecta,Equipo de protección,"5.258,75",2026-07-01
IRA-202501-009204,2025-01-07,Irapuato,Refacciones,Refacción prensa,"2.575,00",2026-07-01
IRA-202501-009231,2025-01-07,Irapuato, Calidad,Flete nacional,"2.301,50",2026-07-01
IRA-202501-009258,2025-01-07,Irapuato,Seguridad,Calibración de equipo,"2.334,50",2026-07-01
CHI-202501-006265,2025-01-08,Chihuahua,Energía,Mantenimiento preventivo,"7.475,25",2026-07-01
CHI-202501-006292,2025-01-08,Chihuahua,Nómina Indirecta,Flete de importación,"3.560,25",2026-07-01
CHI-202501-006319,2025-01-08,Chihuahua,Fletes,Nómina de apoyo,"3.073,50",2026-07-01
CHI-202501-006346,2025-01-08,Chihuahua,  CALIDAD ,Reparación correctiva,"1.847,75",2026-07-01
CHI-202501-006373,2025-01-08,Chihuahua,Seguridad,Mantenimiento preventivo,"2.055,75",2026-07-01
CHI-202501-006400,2025-01-08,Chihuahua,Sistemas,Flete de importación,"2.216,50",2026-07-01
CUA-202501-003322,2025-01-08,Cuautitlán,Mantenimiento,Reparación correctiva,"4.892,25",2026-07-01
CUA-202501-003349,2025-01-08,Cuautitlán,Energía,Mantenimiento preventivo,"4.014,50",2026-07-01
CUA-202501-003376,2025-01-08,Cuautitlán,Nómina Indirecta ,Flete de importación,"3.168,75",2026-07-01
CUA-202501-003403,2025-01-08,Cuautitlán,Fletes,Nómina de apoyo,"2.667,00",2026-07-01
CUA-202501-003430,2025-01-08,Cuautitlán,Calidad,Reparación correctiva,"2.955,50",2026-07-01
CUA-202501-003457,2025-01-08,Cuautitlán,Seguridad,Mantenimiento preventivo,"2.428,25",2026-07-01
CUA-202501-003484,2025-01-08,Cuautitlán,Sistemas,Flete de importación,"2.838,50",2026-07-01
HER-202501-000811,2025-01-08,Hermosillo,MANTENIMIENTO,Nómina de apoyo,"8.534,75",2026-07-01
HER-202501-000838,2025-01-08,Hermosillo,Energía,Reparación correctiva,"5.996,00",2026-07-01
HER-202501-000865,2025-01-08,Hermosillo,Fletes,Mantenimiento preventivo,"3.994,50",2026-07-01
HER-202501-000892,2025-01-08,Hermosillo,Refacciones,Flete de importación,"2.668,25",2026-07-01
HER-202501-000919,2025-01-08,Hermosillo,Calidad,Nómina de apoyo,"2.560,00",2026-07-01
HER-202501-000946,2025-01-08,Hermosillo,  SEGURIDAD ,Reparación correctiva,"1.186,75",2026-07-01
IRA-202501-009127,2025-01-08,Irapuato,Mantenimiento,Nómina de apoyo,"6.245,75",2026-07-01
IRA-202501-009154,2025-01-08,Irapuato,Energía,Reparación correctiva,"2.491,50",2026-07-01
IRA-202501-009181,2025-01-08,Irapuato, Fletes,Mantenimiento preventivo,"-4.257,50",2026-07-01
IRA-202501-009208,2025-01-08,Irapuato,Refacciones,Flete de importación,"1.449,00",2026-07-01
IRA-202501-009235,2025-01-08,Irapuato,Calidad,Nómina de apoyo,"2.981,25",2026-07-01
IRA-202501-009262,2025-01-08,Irapuato,Sistemas,Reparación correctiva,"954,00",2026-07-01
CHI-202501-006242,2025-01-09,Chihuahua,Mantenimiento,Consumo eléctrico,"10.741,25",2026-07-01
CHI-202501-006269,2025-01-09,Chihuahua,Energía,Servicio externo,"9.691,75",2026-07-01
CHI-202501-006296,2025-01-09,Chihuahua,  NÓMINA INDIRECTA ,Licencia de software,"5.457,50",2026-07-01
CHI-202501-006323,2025-01-09,Chihuahua,Refacciones,Renta de montacargas,"4.919,50",2026-07-01
CHI-202501-006350,2025-01-09,Chihuahua,Calidad,Consumo eléctrico,"2.108,25",2026-07-01
CHI-202501-006377,2025-01-09,Chihuahua,Seguridad,Servicio externo,"1.678,50",2026-07-01
CUA-202501-003326,2025-01-09,Cuautitlán,Mantenimiento ,Consumo eléctrico,"4.484,00",2026-07-01
CUA-202501-003353,2025-01-09,Cuautitlán,Energía,Servicio externo,"4.874,00",2026-07-01
CUA-202501-003380,2025-01-09,Cuautitlán,Nómina Indirecta,Licencia de software,"3.427,25",2026-07-01
CUA-202501-003407,2025-01-09,Cuautitlán,Refacciones,Renta de montacargas,"5.046,75",2026-07-01
CUA-202501-003434,2025-01-09,Cuautitlán,Calidad,Consumo eléctrico,"2.874,25",2026-07-01
CUA-202501-003461,2025-01-09,Cuautitlán,SEGURIDAD,Servicio externo,"3.454,75",2026-07-01
CUA-202501-003488,2025-01-09,Cuautitlán,Sistemas,Licencia de software,"2.130,75",2026-07-01
HER-202501-000815,2025-01-09,Hermosillo,Mantenimiento,Renta de montacargas,"9.996,25",2026-07-01
HER-202501-000842,2025-01-09,Hermosillo,Energía,Consumo eléctrico,"5.123,00",2026-07-01
HER-202501-000869,2025-01-09,Hermosillo,Fletes,Servicio externo,"2.439,50",2026-07-01
HER-202501-000896,2025-01-09,Hermosillo,  REFACCIONES ,Licencia de software,"3.712,50",2026-07-01
HER-202501-000923,2025-01-09,Hermosillo,Calidad,Renta de montacargas,"1.580,25",2026-07-01
HER-202501-000950,2025-01-09,Hermosillo,Sistemas,Consumo eléctrico,"1.956,75",2026-07-01
IRA-202501-009131,2025-01-09,Irapuato, Mantenimiento,Renta de montacargas,"4.886,00",2026-07-01
IRA-202501-009158,2025-01-09,Irapuato,Energía,Consumo eléctrico,"3.630,75",2026-07-01
IRA-202501-009185,2025-01-09,Irapuato,Fletes,Servicio externo,"2.552,25",2026-07-01
IRA-202501-009212,2025-01-09,Irapuato,Refacciones,Licencia de software,"2.029,50",2026-07-01
IRA-202501-009239,2025-01-09,Irapuato,Calidad,Renta de montacargas,"3.132,25",2026-07-01
IRA-202501-009266,2025-01-09,Irapuato,sistemas,Consumo eléctrico,"1.258,00",2026-07-01
CHI-202501-006246,2025-01-10,Chihuahua,  MANTENIMIENTO ,Calibración de equipo,"11.014,75",2026-07-01
CHI-202501-006273,2025-01-10,Chihuahua,Energía,Equipo de protección,"8.623,00",2026-07-01
CHI-202501-006300,2025-01-10,Chihuahua,Nómina Indirecta,Refacción prensa,"5.273,00",2026-07-01
CHI-202501-006327,2025-01-10,Chihuahua,Refacciones,Flete nacional,"6.564,25",2026-07-01
CHI-202501-006354,2025-01-10,Chihuahua,Calidad,Calibración de equipo,"2.598,25",2026-07-01
CHI-202501-006381,2025-01-10,Chihuahua, Sistemas,Equipo de protección,"2.757,25",2026-07-01
CUA-202501-003330,2025-01-10,Cuautitlán,Mantenimiento,Calibración de equipo,"5.093,75",2026-07-01
CUA-202501-003357,2025-01-10,Cuautitlán,Energía,Equipo de protección,"5.179,25",2026-07-01
CUA-202501-003384,2025-01-10,Cuautitlán,Fletes,Refacción prensa,"5.265,75",2026-07-01
CUA-202501-003411,2025-01-10,Cuautitlán,REFACCIONES,Flete nacional,"4.261,50",2026-07-01
CUA-202501-003438,2025-01-10,Cuautitlán,Calidad,Calibración de equipo,"3.591,25",2026-07-01
CUA-202501-003465,2025-01-10,Cuautitlán,Seguridad,Equipo de protección,"3.454,75",2026-07-01
HER-202501-000819,2025-01-10,Hermosillo,Mantenimiento,Flete nacional,"10.073,25",2026-07-01
HER-202501-000846,2025-01-10,Hermosillo,  NÓMINA INDIRECTA ,Calibración de equipo,"3.194,25",2026-07-01
HER-202501-000873,2025-01-10,Hermosillo,Fletes,Equipo de protección,"3.256,50",2026-07-01
HER-202501-000900,2025-01-10,Hermosillo,Refacciones,Refacción prensa,"2.850,25",2026-07-01
HER-202501-000927,2025-01-10,Hermosillo,Seguridad,Flete nacional,"2.139,75",2026-07-01
HER-202501-000954,2025-01-10,Hermosillo,Sistemas,Calibración de equipo,"1.987,25",2026-07-01
IRA-202501-009135,2025-01-10,Irapuato,Mantenimiento,Flete nacional,"4.259,50",2026-07-01
IRA-202501-009162,2025-01-10,Irapuato,Nómina Indirecta,Calibración de equipo,"2.697,25",2026-07-01
IRA-202501-009189,2025-01-10,Irapuato,Fletes,Equipo de protección,"2.167,25",2026-07-01
IRA-202501-009216,2025-01-10,Irapuato,refacciones,Refacción prensa,"1.496,75",2026-07-01
IRA-202501-009243,2025-01-10,Irapuato,Seguridad,Flete nacional,"1.145,75",2026-07-01
IRA-202501-009270,2025-01-10,Irapuato,Sistemas,Calibración de equipo,"1.510,25",2026-07-01
CHI-202501-006250,2025-01-11,Chihuahua,Mantenimiento,Reparación correctiva,"10.425,00",2026-07-01
CHI-202501-006277,2025-01-11,Chihuahua,Energía,Mantenimiento preventivo,"9.587,25",2026-07-01
CHI-202501-006304,2025-01-11,Chihuahua,Fletes,Flete de importación,"7.486,00",2026-07-01
CHI-202501-006331,2025-01-11,Chihuahua, Refacciones,Nómina de apoyo,"5.975,00",2026-07-01
CHI-202501-006358,2025-01-11,Chihuahua,Calidad,Reparación correctiva,"2.824,50",2026-07-01
CHI-202501-006385,2025-01-11,Chihuahua,Sistemas,Mantenimiento preventivo,"2.685,25",2026-07-01
CUA-202501-003334,2025-01-11,Cuautitlán,Mantenimiento,Reparación correctiva,"6.422,75",2026-07-01
CUA-202501-003361,2025-01-11,Cuautitlán,ENERGÍA,Mantenimiento preventivo,"5.092,50",2026-07-01
CUA-202501-003388,2025-01-11,Cuautitlán,Fletes,Flete de importación,"5.931,00",2026-07-01
CUA-202501-003415,2025-01-11,Cuautitlán,Refacciones,Nómina de apoyo,"5.646,75",2026-07-01
CUA-202501-003442,2025-01-11,Cuautitlán,Calidad,Reparación correctiva,"3.345,50",2026-07-01
CUA-202501-003469,2025-01-11,Cuautitlán,Sistemas,Mantenimiento preventivo,"1.764,75",2026-07-01
HER-202501-000823,2025-01-11,Hermosillo,Energía,Nómina de apoyo,"2.754,00",2026-07-01
HER-202501-000850,2025-01-11,Hermosillo,Nómina Indirecta,Reparación correctiva,"2.589,00",2026-07-01
HER-202501-000877,2025-01-11,Hermosillo,Fletes,Mantenimiento preventivo,"3.979,75",2026-07-01
HER-202501-000904,2025-01-11,Hermosillo,Refacciones,Flete de importación,"3.592,25",2026-07-01
HER-202501-000931,2025-01-11,Hermosillo, Seguridad,Nómina de apoyo,"2.479,75",2026-07-01
HER-202501-000958,2025-01-11,Hermosillo,Sistemas,Reparación correctiva,"2.426,75",2026-07-01
IRA-202501-009139,2025-01-11,Irapuato,Mantenimiento,Nómina de apoyo,"3.491,50",2026-07-01
